04 disha_padia          01002 00300.00 NP
01 disha_padia          01002 00200.00 NP
00                      00000 00000.00 00
01 robert_pianezza      01003 00100.00 NP
04 darshil_patel        01001 00100.00 NP
00                      00000 00000.00 00
03 disha_padia          01002 00075.00 FI
00                      00000 00000.00 00
05 john_wick            01000 00300.00 NP
00                      00000 00000.00 00
08 robert_pianezza      01003 00000.00 NP
00                      00000 00000.00 00
01 robert_pianezza      01003 00050.00 NP
04 robert_pianezza      01003 00075.00 NP
00                      00000 00000.00 00
00                      00000 00000.00 00
